,district,CRIME_YEAR,CRIME_MONTH,avg_quantity_crime_in_dist,cameras_in_district,R_avg_education_collegeor_above,G_avg_education_collegeor_above,B_avg_education_collegeor_above,warmth_education_collegeor_above,R_avg_family_size,G_avg_family_size,B_avg_family_size,warmth_family_size,R_avg_home_value,G_avg_home_value,B_avg_home_value,warmth_home_value,R_avg_income_household_med,G_avg_income_household_med,B_avg_income_household_med,warmth_income_household_med,R_avg_race_black,G_avg_race_black,B_avg_race_black,warmth_race_black,R_avg_race_white,G_avg_race_white,B_avg_race_white,warmth_race_white,brightness_avg,dark_pixel_ratio,mean_white,mean_black,mean_hispanic,mean_amer_indian,mean_asian,pct_age_18_24,pct_age_25_44,pct_age_45_64,pct_age_18,pct_age_65_plus,mean_M,mean_F,mean_U,pct_petit_larceny,pct_harrassment_2,pct_assault_3_related_offenses,pct_grand_larceny,pct_vehicle_and_traffic_laws,pct_felony_assault,pct_miscellaneous_penal_law,pct_dangerous_drugs,pct_other_offenses_related_to_theft,pct_grand_larceny_of_motor_vehicle,pct_robbery,pct_burglary,pct_sex_crimes,avg_quantity_crime_in_dist_lag1,avg_quantity_crime_in_dist_lag2,avg_quantity_crime_in_dist_lag0,pct_change_between_crime_months,mean_M_lag1,mean_F_lag1,mean_U_lag1,mean_M_diff,mean_F_diff,mean_U_diff,mean_white_lag2,mean_black_lag2,pct_age_18_24_lag1,pct_age_18_24_lag2,pct_age_45_64_lag1,pct_age_45_64_lag2,pct_age_18_lag1,pct_age_18_lag2,warmth_education_collegeor_above_lag1,warmth_family_size_lag1,warmth_race_white_lag1,warmth_income_household_med_lag1,warmth_home_value_lag1,avg_quantity_crime_in_dist_increased,mean_M_increased,mean_F_increased,pct_petit_larceny_lag1,pct_petit_larceny_lag2,pct_grand_larceny_lag1,pct_grand_larceny_lag2,pct_burglary_lag2,pct_sex_crimes_lag1,pct_sex_crimes_lag2,pct_assault_3_related_offenses_lag1,pct_assault_3_related_offenses_lag2,pct_felony_assault_lag1,pct_felony_assault_lag2,white_crime_ratio,male_female_ratio,youth_crime_ratio,crime_decline
district,1.0,0.3029848967088525,0.0,0.1761402871256612,0.7821606658267547,0.7227398734885919,0.764401804049544,0.7490581475522445,0.7762597575131243,0.7285164924803589,0.6954474667206766,0.5513184334968962,0.693884335826631,0.7407284160282265,0.6704898401498957,0.7853112196278849,0.8602483396233404,0.707120929888237,0.7764008688353523,0.7044602497894752,0.706758640264841,0.7246378879277122,0.5616398601728168,0.6657010603434914,0.682173954425215,0.7289187264179334,0.7520688769250887,0.7528836149433406,0.8784724242012281,0.4990611372589258,0.8717941743275454,0.3538417636133437,0.3213300484121171,0.3386170679275949,0.1509289248498415,0.4874845180506282,0.008996416342670526,0.037503601447125806,0.0,0.17164471216932184,0.06610393669661067,0.0,0.1387602830392561,0.13241399225975464,0.10579663395684,0.09225488502996239,0.0,0.21390259371288936,0.033473399698417686,0.0,0.0,0.0,0.22453795228686263,0.12818899527482308,0.09984937695418739,0.0,0.0,0.2570816874559833,0.3120707661440226,0.1761407945253814,0.0,0.11163063252976715,0.04282303770012327,0.1391240155363321,0.0,0.23015908687396597,0.025176210168405506,0.3989279452074756,0.3092854412697115,0.06030243408861174,0.1545004187515187,0.0,0.0,0.20396133034354483,0.23461436354192738,0.7762448363506839,0.6939343609891181,0.8784734882334813,0.7067957312811478,0.8602453601761969,0.0,0.0,0.0,0.32286742042231986,0.19228704598284468,0.2301434544970489,0.22107903822976652,0.1566215443458962,0.09455329457551367,0.10907181890044657,0.0,0.0,0.012222825004442626,0.036930806496064644,0.3819896720896111,0.15267290158012894,0.1309002125334274,0.0
CRIME_YEAR,0.3029848967088525,1.0,0.07496385685685288,0.4745837096227955,0.4139163635624691,0.5303339510623803,0.5084647810006595,0.5085806748010481,0.45533888642766496,0.45276910584953917,0.36284299390603164,0.4247112711258443,0.2942321502461501,0.27002231405661997,0.466059406176496,0.37869369938676545,0.3197881938307425,0.5389068336537743,0.3454479155767605,0.307094723009203,0.25588506544423756,0.4162744830774446,0.16185508148994307,0.29718023513005687,0.45834411419770366,0.28807253196872357,0.3543593186299186,0.19374969259936,0.2847650761993241,0.31622845234170777,0.2935875697160855,0.1456793477025381,0.17423410162524636,0.18287829578194179,0.0,0.0,0.0,0.3044806227348986,0.07293442435861267,0.0,0.0,0.3304057623479835,0.09401073573196901,0.29950013568743716,0.23892284647278914,0.10883539229327391,0.0,0.2301415254924166,0.0,0.0,0.0,0.0,0.0,0.06283185287392726,0.0,0.0,0.0,0.4620844604836925,0.3703674510796932,0.47458377311860467,0.34479914641332976,0.29899503106778946,0.09555901921123723,0.2406715181644145,0.33291617884650065,0.3563697204721172,0.3300015831201478,0.05529109241516125,0.09921222167486535,0.03165787869211997,0.11403529167807708,0.08698154169363764,0.04312791173694353,0.0,0.0,0.45533908360488584,0.2942313824269941,0.28476480202267335,0.25588495480193807,0.3197884040874091,0.19940660977340505,0.07918863666750532,0.07951086108204598,0.2309804709457871,0.1378302454420845,0.1509474597150895,0.03839992788614239,0.0,0.0,0.0,0.0,0.0,0.0,0.040029927322881964,0.2013807723540971,0.3759292903938486,0.0,0.31897437623348157
CRIME_MONTH,0.0,0.07496385685685288,1.0,0.5134615683212793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3442725086703707,0.2371586331080071,0.2888944473846218,0.0,0.26358117883023463,0.279034104215832,0.42033668420200104,0.3669204944369731,0.18458473594669175,0.0,0.43219789009192155,0.341176914605719,0.3303344572485501,0.4704086177785506,0.3167017960875837,0.3954261585856256,0.37508328026748117,0.1465965825123134,0.3253820332599691,0.03909022220115625,0.0,0.0,0.2659141970938389,0.05402352711674008,0.1824982251798477,0.28472714467058363,0.3974415045781828,0.30800940684394806,0.5135473497150645,0.5112325633678999,0.36766234576219714,0.20136994163835673,0.11602847175458515,0.2817923278029817,0.30084477645450663,0.3101381284273831,0.0,0.1317512301879797,0.20409798935709686,0.24092567716743912,0.1653516815649902,0.19741673759293885,0.19404296903098572,0.025978248065153038,0.0,0.0,0.0,0.0,0.0,0.43156345359329334,0.11496602763091546,0.09881409014517903,0.24642066082056002,0.1949153178979615,0.28761362695412973,0.1656557394969531,0.0,0.15005557944820547,0.07879230589987445,0.2516443228995859,0.21445218785927214,0.10234214192313194,0.18687928417002467,0.3690667497724087,0.4102199624571333,0.25435086389263745,0.5375821988596517
avg_quantity_crime_in_dist,0.1761402871256612,0.4745837096227955,0.5134615683212793,1.0,0.13474622797717878,0.0,0.11022175650506905,0.0,0.0,0.03897830900184294,0.1059000955647793,0.010694275212007415,0.0,0.17145292645277183,0.0,0.0,0.17913620504912273,0.14390134181797706,0.08328461738633679,0.056395902608276864,0.0,0.06533080820874812,0.05064733874234268,0.0,0.0,0.10680435306324268,0.0,0.0,0.16874521600849754,0.0,0.0,0.6535048919921407,0.6181843414018798,0.688345769394351,0.17546218622834966,0.6949757002876795,0.47488798177786173,0.6357053444109936,0.8145437152032547,0.30454869738056084,0.14939903684551675,0.6967403113918271,0.6628917561685593,0.7014167598220494,0.6673682813204516,0.650863701811241,0.5292378861003048,0.6922491262778606,0.07345487572517143,0.7509544024140111,0.359430980075441,0.15357294859510853,0.19680657875850105,0.36297831537933,0.25723472681522913,0.34220168258393324,0.5571005502532684,0.6051128688246489,0.4588291653720177,1.0,0.4976090154786447,0.36279056005278837,0.44514496294075534,0.2757795741855665,0.38263738411350423,0.49627272552262036,0.43382864354059536,0.2496557712176231,0.2376356377021678,0.1441079007063438,0.0,0.32553476428785244,0.2480185840779878,0.0,0.08876754729236762,0.0,0.0,0.1687452596872518,0.0,0.17913597898806138,0.8299099331384937,0.21470680521684485,0.4074866349016172,0.45226657878549564,0.3106894342080287,0.38351151139594836,0.3003240616286765,0.09777143510852376,0.2867925983183492,0.2059352400076842,0.2555976766520273,0.27105919598545636,0.24750528696628304,0.0,0.6790650980337162,0.6053262030929308,0.5496822236553713,0.678755474050508
cameras_in_district,0.7821606658267547,0.4139163635624691,0.0,0.13474622797717878,1.0,0.8793306185487267,0.8725653233571659,0.8811943418323189,0.8739652761674752,0.9009325574308629,0.8922232155465071,0.8881339335646893,0.7266697524128019,0.8527208095955683,0.8791405199055993,0.8824585618910288,0.7824389919592805,0.8863632498560156,0.8692426083707527,0.9024517093729892,0.7564475807060772,0.8889412992870398,0.7363651948218223,0.7595836714394119,0.8542198182284605,0.748730757671853,0.7502462460107248,0.8802295352264121,0.7288464129058102,0.7122967556765987,0.7116374785804145,0.3129861869111717,0.290268148453557,0.2573025031682744,0.23170431049324672,0.12876287787734186,0.0,0.2250059957444092,0.11891610362502451,0.0,0.0,0.11549095627682344,0.0,0.14760699851123862,0.19848932480296072,0.10714184314052944,0.08228462054741024,0.22373139059067462,0.10510278907387936,0.0,0.14521547498873152,0.0,0.17217925204437962,0.04773956184170805,0.1363490128049567,0.07838377120755388,0.0,0.1016339255711382,0.1714230325800465,0.13471327912487266,0.10263791920481899,0.19669031508993953,0.0,0.1631756809377211,0.22156563171007637,0.15360379258383364,0.0,0.2310278842395527,0.29089959821091005,0.0,0.0,0.10540736446511088,0.19832625468449458,0.0,0.0,0.8739648793636375,0.7267546528185599,0.7289448859342739,0.7565380611222623,0.7824690300448358,0.0,0.0,0.0,0.26777720246152364,0.1934416381126655,0.23267441731128521,0.1916071314690728,0.0,0.0,0.0,0.0,0.0,0.13602854001810816,0.13787584569845662,0.20407783752044545,0.09785251179433105,0.0,0.0
R_avg_education_collegeor_above,0.7227398734885919,0.5303339510623803,0.0,0.0,0.8793306185487267,1.0,0.9068147290246253,0.9124741100325608,0.9380134351027688,0.9053630452375799,0.8973240780846922,0.9403294693774474,0.8449183096098721,0.8613308997637721,0.902957740945846,0.9017062471261268,0.8450372215475663,0.9626247276611811,0.8836207559053839,0.8920777773436372,0.8447581560683775,0.9011540033449471,0.7905433994522824,0.8342207817067011,0.9336385036114261,0.7976376097192178,0.8615905620799058,0.9151359916636774,0.8637163863219668,0.7832421461472646,0.7005884305831501,0.464294792408646,0.21106622541432848,0.21818245652545037,0.23404853371391435,0.16960149016534384,0.0,0.0,0.0,0.0,0.16913830220337633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11195732322074897,0.15779578684094558,0.0,0.10875726920622811,0.07731616440848028,0.10840317930754347,0.0,0.12772518725934073,0.0,0.04804068960931928,0.1421072191365951,0.0,0.0866545014097152,0.0,0.0,0.17631942115780627,0.0,0.24768580384243605,0.0,0.3091534276837128,0.1803298438874305,0.0,0.0,0.0,0.0,0.0,0.0,0.9380139827542262,0.8448443925073161,0.8637680195785538,0.8447297198124776,0.8451994879425028,0.0,0.0,0.0,0.13054447896221924,0.1325246758930007,0.0,0.0,0.0,0.0,0.0,0.19251448814277186,0.17521012350618478,0.14573747303573392,0.10179984508712378,0.3689249502129133,0.2247318714355248,0.0,0.0987503063394446
G_avg_education_collegeor_above,0.764401804049544,0.5084647810006595,0.0,0.11022175650506905,0.8725653233571659,0.9068147290246253,1.0,0.9880396307193069,0.9497866979736773,0.891159699818967,0.884318343164105,0.9095511864785241,0.8561088061927071,0.9195704571960063,0.9009956471198315,0.9536363806246481,0.8512224172983416,0.8832835765799427,0.9403736091155787,0.9488872680972398,0.8435695169641287,0.9179066935319298,0.7616767658605254,0.7928917227834767,0.9222647136658332,0.8413134605133522,0.8016605738370212,0.935643540476678,0.8543554930986752,0.7526552481879777,0.7361935319030614,0.36512797724337137,0.2967394849138153,0.21146817986903046,0.18213565865965398,0.14762981285179114,0.0,0.2318348202487075,0.0946053040817285,0.0,0.10050388138133215,0.2297423728849586,0.0,0.0,0.0,0.06422503732504009,0.1643798589862854,0.1714281894021109,0.011151209392989315,0.0,0.0,0.2307756565570372,0.152646470829952,0.10964454893866298,0.25711054068800004,0.0,0.049685865235423246,0.0859312953367118,0.14826504390419665,0.11025407847030026,0.0,0.17138542572961113,0.0,0.14510233063216524,0.07623003563676865,0.13045857610792824,0.0,0.21628879630425624,0.26196774811609036,0.0965648242249958,0.22616766742508937,0.19076957249441162,0.33254995659345965,0.0,0.20710350144442558,0.9497888598760177,0.8560356505839893,0.8543753087599159,0.8436340582170769,0.8512346242219276,0.0,0.0,0.0,0.05886923391889822,0.0,0.0,0.0,0.0,0.05808940184123107,0.17477661921495694,0.0,0.0,0.0,0.0,0.35483337214348093,0.20871373457368136,0.04247939658785233,0.132228455967775
B_avg_education_collegeor_above,0.7490581475522445,0.5085806748010481,0.0,0.0,0.8811943418323189,0.9124741100325608,0.9880396307193069,1.0,0.9600630811567591,0.9248893237450059,0.8892283539045918,0.9246307973723388,0.8528776560010567,0.8687298816168897,0.8927486413468135,0.9613839760838144,0.8110376349657226,0.8878497541419881,0.9243917852283352,0.9691186047798014,0.8635454057177185,0.8866336897185312,0.7837202459296578,0.8363454610897912,0.941061068827402,0.7795063920132976,0.8145483024728056,0.9422222349235738,0.8271282858048965,0.7487286259214695,0.7692449656825519,0.41889878005882825,0.300209742285203,0.17572321920323228,0.06038654958863456,0.1492274227586142,0.0,0.0,0.0,0.0831526288438787,0.0,0.0,0.0,0.13597204765184678,0.0,0.058325529989477265,0.0,0.0,0.0,0.0,0.0,0.16778649548019592,0.1891243391522187,0.1288727270254457,0.0,0.0,0.0371016982128038,0.0,0.0,0.0,0.05076422564016554,0.0,0.0,0.17638654570895246,0.0,0.1514352185484241,0.0,0.23196015123579994,0.27692058486239407,0.07384780437099658,0.11087931432984931,0.16619988785762668,0.1988816554467503,0.11631051457054828,0.21605603781546787,0.9600627088420245,0.8528589072501732,0.8271063018865742,0.8635974890998804,0.8110663397945805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058907558489027824,0.09490563399785701,0.16576890559448076,0.0,0.0,0.06838121598765122,0.3483785792236797,0.16941675214257487,0.0,0.0
warmth_education_collegeor_above,0.7762597575131243,0.45533888642766496,0.0,0.0,0.8739652761674752,0.9380134351027688,0.9497866979736773,0.9600630811567591,1.0,0.9053453266379083,0.8867419021564229,0.9291014495613539,0.9016111987186254,0.8968693004000803,0.925990335902359,0.9581321546692644,0.9020303912919547,0.9129429875516818,0.894457058193193,0.9473381784321807,0.9385512326395543,0.9107735371806308,0.8066184577243012,0.8605959272095737,0.9310611039511921,0.811291167448535,0.8302937267159242,0.9261684467924706,0.9191203911244885,0.7396768046489426,0.7699521490740723,0.45278835657960004,0.2747384671968356,0.24910963614396114,0.09853179298190363,0.0,0.0,0.0,0.0,0.09028079357635622,0.041013865015313566,0.0,0.0,0.0,0.0,0.046599872070012746,0.0,0.0,0.0,0.0,0.0,0.0,0.3009947210138273,0.0,0.1606531408847914,0.0,0.0457724865351968,0.0,0.04584951490953643,0.0,0.0,0.0743157153910792,0.07858195992309022,0.017698529818820304,0.0,0.3058662865264146,0.0,0.29908757484571347,0.21316494146311857,0.0,0.1846433083833813,0.0,0.20535705757587155,0.07732481274648449,0.0681571974395944,1.0,0.9015785595278191,0.9191067218721598,0.9386775625603554,0.9021832358126619,0.0,0.0,0.0,0.09744430623280481,0.0,0.0,0.0,0.0,0.14276750985245082,0.0,0.0,0.1109311592505982,0.0486439202508983,0.0666220460349366,0.412413119160274,0.2430680352293545,0.0,0.0
R_avg_family_size,0.7285164924803589,0.45276910584953917,0.0,0.03897830900184294,0.9009325574308629,0.9053630452375799,0.891159699818967,0.9248893237450059,0.9053453266379083,1.0,0.9535887208012719,0.8802489673063382,0.8612785645084144,0.8132856187542427,0.9075268293886912,0.9100427170230837,0.7707936418889993,0.9282567238904511,0.8850541848534491,0.9186561537792858,0.7789507852401227,0.8648218417210911,0.7653729770639741,0.8008751343266669,0.9478288837944623,0.7564736415137675,0.8303445523516302,0.9410445700562717,0.812910685668917,0.7950244672855931,0.7286815014110869,0.33032410894099323,0.27811991344997355,0.32823707182414924,0.0,0.0,0.0,0.0,0.18042812332551178,0.06860317026307952,0.09831881525244501,0.0,0.1530433549703584,0.1946236279946341,0.19211192011377404,0.0,0.0,0.18231518860561735,0.0,0.0,0.09056380049581954,0.18574744632526693,0.13908559133991022,0.152028029970763,0.21904596976281798,0.0729839547757494,0.0,0.08220171565321603,0.06989731025740072,0.03897947778231454,0.11508948634748911,0.0,0.13348125082520482,0.14726338667502997,0.0,0.10518215212031402,0.0,0.15625459352311274,0.2916300470626942,0.0,0.0,0.06353910404764312,0.1355244118864047,0.0,0.1371752238150863,0.9053447848349432,0.8612859881089746,0.8128639253596419,0.7789006603614803,0.7707953196673346,0.0,0.0,0.0,0.1483618661281093,0.11292309521943926,0.08305587988757085,0.14734968207594842,0.0,0.0,0.23950127099288587,0.3081712613069757,0.13402824226469814,0.0,0.12236924330971696,0.2187367986342918,0.13412062817495254,0.0,0.0
