,district,CRIME_YEAR,CRIME_MONTH,avg_quantity_crime_in_dist,cameras_in_district,warmth_education_collegeor_above,R_avg_family_size,G_avg_family_size,B_avg_family_size,warmth_family_size,R_avg_home_value,G_avg_home_value,B_avg_home_value,warmth_home_value,R_avg_race_black,G_avg_race_black,B_avg_race_black,warmth_race_black,R_avg_race_white,G_avg_race_white,B_avg_race_white,warmth_race_white,brightness_avg,dark_pixel_ratio,mean_white,mean_black,mean_hispanic,mean_amer_indian,mean_asian,pct_age_18_24,pct_age_25_44,pct_age_45_64,pct_age_18,pct_age_65_plus,mean_M,mean_F,mean_U,pct_petit_larceny,pct_harrassment_2,pct_assault_3_related_offenses,pct_grand_larceny,pct_vehicle_and_traffic_laws,pct_felony_assault,pct_miscellaneous_penal_law,pct_dangerous_drugs,pct_other_offenses_related_to_theft,pct_grand_larceny_of_motor_vehicle,pct_robbery,pct_burglary,pct_sex_crimes,avg_quantity_crime_in_dist_lag1,avg_quantity_crime_in_dist_lag2,avg_quantity_crime_in_dist_lag0,pct_change_between_crime_months,mean_M_lag1,mean_F_lag1,mean_U_lag1,mean_M_diff,mean_F_diff,mean_U_diff,mean_white_lag2,mean_black_lag2,pct_age_18_24_lag1,pct_age_18_24_lag2,pct_age_45_64_lag1,pct_age_45_64_lag2,pct_age_18_lag1,pct_age_18_lag2,warmth_education_collegeor_above_lag1,warmth_family_size_lag1,warmth_race_white_lag1,warmth_home_value_lag1,avg_quantity_crime_in_dist_increased,mean_M_increased,mean_F_increased,pct_petit_larceny_lag1,pct_petit_larceny_lag2,pct_grand_larceny_lag1,pct_grand_larceny_lag2,pct_burglary_lag2,pct_sex_crimes_lag1,pct_sex_crimes_lag2,pct_assault_3_related_offenses_lag1,pct_assault_3_related_offenses_lag2,pct_felony_assault_lag1,pct_felony_assault_lag2,white_crime_ratio,male_female_ratio,youth_crime_ratio,crime_decline
district,1.0,0.0,0.0,0.0,0.7574078787018776,0.7952678012846094,0.7018358547240567,0.6643267965599492,0.5539700299429913,0.7380947446621177,0.7336763639149745,0.6939815050739658,0.7934233078216245,0.8619165117598803,0.7124394875721527,0.6188774482278908,0.6699766717430528,0.7146649841865673,0.7718413726169541,0.8373737179507942,0.7257913370233969,0.8561989989114597,0.5365582392876196,0.7376980970228466,0.35341406186528473,0.3700166883633158,0.3038005677389828,0.038268210567705824,0.37736754494453256,0.07683224748664878,0.0753834585597323,0.0817677315462316,0.18035052527552747,0.07163828705105625,0.0,0.11911687204604286,0.05901897721723785,0.0583404653985194,0.05776341713765684,0.05135429970699988,0.09822751439212715,0.0,0.08946560655052899,0.04863847406327859,0.11156046687614588,0.10640093751972989,0.14754623836578845,0.15847687731317592,0.0,0.0,0.06142275603654649,0.0625874856738932,0.0,0.0,0.0,0.0,0.03426113298044179,0.0,0.08591179110422961,0.0,0.3249617740043708,0.3309478015913034,0.0,0.0,0.0,0.0,0.13107664723720908,0.0803067216038553,0.7952699074799346,0.7380995991440137,0.856200666577741,0.8619180549372448,0.0,0.0,0.0,0.10448333993304128,0.09412263632786531,0.10459788234632518,0.06815471108742949,0.0,0.0,0.0,0.013216304314406058,0.0,0.016925677887856774,0.0,0.28005088547790646,0.07045149918590438,0.08968696253500241,0.1006475874662654
CRIME_YEAR,0.0,1.0,0.10046496504323206,0.3065660444526337,0.07335793710349331,0.0,0.1266622026527986,0.10413964714197256,0.0,0.0673155197253587,0.0,0.11645983798927954,0.08725732275512796,0.09636835571805105,0.0,0.0,0.0,0.08804314072538282,0.0,0.0,0.11964507345127426,0.04183439508986503,0.20533744760714584,0.1380423018334876,0.0685729608501675,0.1489432867856452,0.18412892968348094,0.0,0.0,0.0,0.16843071062345044,0.0,0.0,0.0,0.28388606219856805,0.14260318156746699,0.18342552336204168,0.24716194586888637,0.09317689743616794,0.0,0.1515035060613058,0.1468245494670081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25382124996998634,0.2772797879645381,0.22909125964783822,0.30656782643430563,0.26532936021864306,0.2471804096189212,0.026937288432367718,0.14652145020782353,0.24157096717319604,0.20367823972512344,0.17629938543494406,0.0,0.04984269128057265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06730946045613802,0.041828246779829256,0.09638771102753832,0.29626547608369364,0.1316852041841011,0.16195140709683756,0.2080397211134185,0.10587975507014587,0.12319610336215894,0.08241022527746557,0.0,0.2560963180162052,0.22988275022964358,0.0,0.0,0.0,0.0,0.0,0.2849088758313639,0.0,0.0
CRIME_MONTH,0.0,0.10046496504323206,1.0,0.4806845388120923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31698403093175087,0.28711198244093916,0.30703919208084546,0.4663315260469056,0.35202345643167393,0.4383792233959242,0.4551986127591598,0.4772737131952516,0.321508248415885,0.43861693871323854,0.42260364856608434,0.31340584546505945,0.33082079922688373,0.3073907884330278,0.3405705822781122,0.3457468517964017,0.5203782913847083,0.4823404019398154,0.2911634850988325,0.29336188317266715,0.2891071493372408,0.38258347111815855,0.2753724253024316,0.32261223267788774,0.30250955571867844,0.46895333694154046,0.5099430175410186,0.41825588697389465,0.4806714109715616,0.5990173999915434,0.389299761149182,0.29041122121723134,0.2920855017695832,0.33886507798301496,0.25790161838948755,0.2583674421487428,0.20713641430622248,0.22730268849821772,0.4664754512100491,0.30479476053888305,0.4598399723172658,0.4230017133889814,0.3474590249200657,0.2739974797765682,0.0,0.0,0.0,0.0,0.4470465052879021,0.23735234901724006,0.22268938234060867,0.2968453539357904,0.18257006227437897,0.502602508138831,0.23668579161178183,0.2859309139445751,0.4119294201785922,0.3633797915365212,0.3408967813061587,0.2646252449845488,0.32844136449913325,0.29094973058593265,0.2924253878050714,0.4095815101503526,0.1638600955921235,0.4558256146099742
avg_quantity_crime_in_dist,0.0,0.3065660444526337,0.4806845388120923,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6263011445789599,0.6412524824895022,0.6675829279530207,0.5362427273724909,0.6355542986589775,0.6474476478444385,0.6891113693396428,0.6746280226550263,0.6129551237332157,0.587409361621991,0.7112008743153531,0.6910033727116088,0.6792113539456508,0.6481291337826336,0.6607894385083996,0.6306041620313043,0.7291119021927123,0.7203869128372737,0.6019451411172132,0.5939247892477696,0.5145546543118231,0.5320365384373403,0.5732728121593369,0.5581096519924864,0.5784250922598695,0.6681150629326856,0.8530088339615717,0.6332543528168921,1.0,0.6862672570918373,0.5072837934064993,0.5665312886643501,0.5020175978874006,0.5599479222368556,0.563260637512577,0.5328083524828722,0.45575835903040246,0.44950413618110135,0.550967737604965,0.4240902172559144,0.5866939973862201,0.5220375545818818,0.6785630094823204,0.317326135557188,0.0,0.0,0.0,0.0,0.8996364390803363,0.37762246330884813,0.6030806819015695,0.5177101082111087,0.47744902930826694,0.5727778588922523,0.47595199990375947,0.5447274473581745,0.5195461552023428,0.4706231836258138,0.4968962754194145,0.4056690782266006,0.6895822514566197,0.3593031231376693,0.6412648434617921,0.6748946997009978,0.5713825882855642,0.5291463974352894
cameras_in_district,0.7574078787018776,0.07335793710349331,0.0,0.0,1.0,0.8591362569483654,0.8775637223705406,0.8889318914286665,0.89963901951929,0.8620834130799361,0.8580647141336761,0.8871752486479549,0.8756622407205936,0.7729171050124976,0.8837057026956666,0.8653920917150486,0.7487350720159505,0.8523894113795639,0.7482017321323619,0.8904913946652732,0.8768138467823132,0.7083520552030159,0.7069881987224524,0.7382974593815265,0.2993600041898897,0.4031303902450855,0.2900614831006296,0.05160662409468323,0.25023523798801167,0.12370322942597851,0.08170689733721952,0.12615372153093807,0.09108726962575357,0.0,0.1762771089731633,0.036063921433833294,0.17768536198788804,0.13353158077441094,0.06533560534375572,0.0,0.1673226033889933,0.0,0.16023384087983697,0.0,0.10063298111006688,0.1404073175164919,0.0,0.08134185600917394,0.016426099219946373,0.06937443726127122,0.0,0.0,0.0,0.0,0.1775552420859595,0.0,0.15369142138132594,0.0,0.0,0.08007522178924838,0.30538589058218685,0.36729842417238096,0.10987628932347815,0.08161008757174822,0.095810497679353,0.1336130071553855,0.05596353475442644,0.04930332591322668,0.859136125121142,0.8620832621055282,0.708241820564763,0.7729578513650686,0.0,0.0,0.0,0.09752968069148159,0.08535180593075067,0.13124952973924026,0.13995436932731484,0.06498591942268185,0.0,0.0,0.0,0.0,0.11807149293329626,0.15081700878465368,0.23171071044366634,0.09925900125334502,0.03349717878879428,0.0
warmth_education_collegeor_above,0.7952678012846094,0.0,0.0,0.0,0.8591362569483654,1.0,0.9213748616923211,0.8939287126303698,0.9168252007163338,0.9575934545692597,0.9156406357875219,0.9092138307200398,0.9510677948749785,0.8762044748415818,0.916203209518807,0.9115331700264598,0.8477071639578333,0.9384772132199727,0.8075046164807931,0.9290981373622452,0.9544786770257067,0.8820253750608488,0.7467272786113176,0.7825813807643659,0.4527228596134303,0.358379848960252,0.3000312097224528,0.0,0.2237479976108235,0.15726028363309313,0.0,0.09712231111009291,0.08084836471630633,0.0,0.0,0.0,0.0,0.09947563920749254,0.07808586106842114,0.05022700655328052,0.06679950334672623,0.06938462085682019,0.13044969176311896,0.0,0.06479694408450173,0.15614015963147046,0.0,0.12524942800326908,0.0,0.11976538039635352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41168881226509424,0.31245039230002636,0.1446397569990115,0.05673542912830494,0.0,0.0,0.02809708560572631,0.03934084866213785,1.0,0.9575925990210139,0.8819886803941561,0.8761276277554728,0.0,0.0,0.0,0.030520867753898465,0.0,0.0,0.0,0.060331681716308025,0.0,0.0,0.012339759407342058,0.05678977289425769,0.05403816645428412,0.0,0.3529973176165177,0.0,0.05475752419432856,0.0
R_avg_family_size,0.7018358547240567,0.1266622026527986,0.0,0.0,0.8775637223705406,0.9213748616923211,1.0,0.9611879330748092,0.8998767814420502,0.9410876454745325,0.8598519682084572,0.9054277834136025,0.9072431728778492,0.7853531350298146,0.88649522478257,0.8951079797795449,0.7941044106286999,0.9399923384357393,0.7785075030374223,0.933810724075397,0.9415771827061883,0.7954671734207904,0.8087790656479539,0.766944247064214,0.40162915870781063,0.29558873851142453,0.3405449164891219,0.0,0.17747672995452554,0.0,0.0,0.0929489072245699,0.0,0.0,0.0,0.0,0.23761375803770435,0.018501075390307414,0.0,0.06273900885103802,0.1118806435291405,0.0,0.06110632176009516,0.0,0.044480168927974996,0.0,0.10533285315264782,0.07278051300853128,0.0,0.05623265123089857,0.0,0.0,0.0,0.0,0.0,0.0,0.17713299160892634,0.0,0.04505792214495523,0.10992474874479609,0.3732399028266447,0.2129043677765355,0.0,0.0,0.1051448946382643,0.0,0.0,0.0,0.9213758563466703,0.9410882632131075,0.7953658866307414,0.7852329574488632,0.0,0.0,0.0,0.02241675710117373,0.0,0.08318990770637856,0.044097663822234304,0.0,0.0,0.0,0.0,0.0,0.0,0.0680318312790754,0.33722377548750415,0.0,0.0,0.0
G_avg_family_size,0.6643267965599492,0.10413964714197256,0.0,0.0,0.8889318914286665,0.8939287126303698,0.9611879330748092,1.0,0.9030947960124024,0.9401511685581527,0.8703241627583564,0.9024678279894991,0.9201442742040714,0.7729642927324947,0.8662843499623871,0.9024801268794487,0.7912887948871488,0.9308385135703168,0.7716692917863006,0.9109999562506799,0.9165112049564212,0.7508731975118974,0.7877484916315483,0.7943002147578618,0.28137173024049456,0.3678147859020951,0.25390721768819496,0.0,0.33172949002063384,0.0,0.04239884625863654,0.04894050967869178,0.07053992518205922,0.0,0.0,0.06911008482088285,0.08724188286186646,0.08784927598395977,0.049855002030294776,0.0,0.08697443031116685,0.0,0.01396541476469925,0.0,0.0,0.17230589478258948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05526826667343474,0.06508841020172014,0.09275530061567447,0.0,0.0,0.09973603865433495,0.2779632129280892,0.32159688405824466,0.0,0.041593010130734846,0.06924848604287885,0.0,0.04744314800247857,0.06356681421616074,0.8939289228806487,0.9401512413649987,0.7508480807029276,0.7729802399945584,0.0,0.0,0.020236435595133107,0.07822550814681906,0.13442070455657457,0.0,0.0,0.10166363635203059,0.0,0.0,0.0,0.0,0.0,0.0,0.1907703010009772,0.0,0.0,0.0
B_avg_family_size,0.5539700299429913,0.0,0.0,0.0,0.89963901951929,0.9168252007163338,0.8998767814420502,0.9030947960124024,1.0,0.9491559171836772,0.9178779158864339,0.8913869331504852,0.9223701057875116,0.8368471458285721,0.9183778667487655,0.9581716879725086,0.8967002810003651,0.866895366227518,0.7332663492317816,0.9338006819227231,0.9380707241401407,0.8490636954831291,0.7673759300518905,0.7424763106622269,0.30465708038987876,0.307829873168908,0.29059218476719734,0.12446662284300694,0.2616637688255722,0.14962409809608376,0.0,0.0,0.0729991763105024,0.0,0.0,0.0,0.13647658702326865,0.12216307772502329,0.14379722586001537,0.0,0.05561453902211334,0.0,0.05586709629121167,0.0,0.04080678914532197,0.0,0.0,0.021345437170664543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2439850006093838,0.24434401588736052,0.09376307049806094,0.0,0.06366062152063785,0.11188370429331436,0.125412517602252,0.06990278759298504,0.9168299217569722,0.9491559412376676,0.8489647365260515,0.8368069620740514,0.0,0.0,0.0,0.08644928559588454,0.10462173371630153,0.0,0.06576977589056841,0.07476450870374993,0.0,0.0,0.0,0.0,0.0853990074667174,0.09842056816588532,0.2092676200049789,0.0,0.045045784691738824,0.0
warmth_family_size,0.7380947446621177,0.0673155197253587,0.0,0.0,0.8620834130799361,0.9575934545692597,0.9410876454745325,0.9401511685581527,0.9491559171836772,1.0,0.911667600357876,0.9159226004541026,0.9441167139985348,0.9074486589585264,0.9259910988635109,0.921126454000551,0.8512588239064683,0.9164554793727172,0.8310446830290483,0.9193111393033141,0.9402849694225403,0.9136980661304934,0.7597755391478451,0.7979703662390611,0.3470442535832728,0.43817875772369247,0.30340071631664683,0.06668810929095133,0.32307463182002377,0.20436093388923512,0.0,0.0,0.0,0.0,0.0,0.045830428177380526,0.21563594191465685,0.03959815069705587,0.0,0.0788556430043098,0.0,0.1749260905869202,0.11932737259655664,0.0,0.06674295904581931,0.09249512661818822,0.0,0.13735442945329066,0.0,0.08274564710545279,0.0,0.0,0.0,0.0,0.0,0.0,0.17744486774210397,0.0,0.0,0.0,0.3140136504581167,0.39255031804742324,0.1819873142816527,0.043356903892761124,0.0,0.0,0.0,0.0,0.9575922625351998,1.0,0.9135528649302757,0.9074696876921391,0.0,0.0,0.0,0.026395126213216276,0.0,0.0,0.0,0.09607214236484554,0.0799725017588722,0.0,0.0806832729767322,0.10283529562875554,0.05028812435513699,0.09518881747978927,0.2576208628738495,0.14394574009964822,0.11269456281508525,0.0
